CPU TIME (ms) BEGIN (total = 36102578) Thu May 15 18:28:42 2014
rank   self  accum   count trace method
   1  6.30%  6.30%     284 317379 com.mysql.jdbc.StringUtils.indexOfIgnoreCaseRespectMarker
   2  5.11% 11.41%     283 320835 com.mysql.jdbc.StringUtils.indexOfIgnoreCaseRespectMarker
   3  3.61% 15.02%  513660 317377 java.lang.Character.toLowerCase
   4  3.60% 18.62%  514226 317373 java.lang.Character.toUpperCase
   5  3.52% 22.14%     826 319290 java.util.concurrent.locks.LockSupport.park
   6  3.22% 25.37%     283 319338 am.Database.insertValues
   7  2.94% 28.31%  514174 320823 java.lang.Character.toUpperCase
   8  2.92% 31.23%  508514 320827 java.lang.Character.toLowerCase
   9  2.76% 33.99%     609 303750 sun.nio.cs.SingleByte$Decoder.decodeArrayLoop
  10  2.26% 36.24%  514226 317372 java.lang.CharacterDataLatin1.toUpperCase
  11  2.23% 38.47%  513660 317376 java.lang.CharacterDataLatin1.toLowerCase
  12  2.22% 40.69%  513660 317378 java.lang.Character.toLowerCase
  13  2.21% 42.90%  514226 317374 java.lang.Character.toUpperCase
  14  2.18% 45.08%     323 318782 java.net.SocketInputStream.read
  15  1.84% 46.91%  514174 320822 java.lang.CharacterDataLatin1.toUpperCase
  16  1.82% 48.73%  514174 320824 java.lang.Character.toUpperCase
  17  1.80% 50.53%  508514 320826 java.lang.CharacterDataLatin1.toLowerCase
  18  1.79% 52.32%  508514 320828 java.lang.Character.toLowerCase
  19  1.77% 54.09% 1050534 317368 java.lang.String.charAt
  20  1.71% 55.80% 1140939 303755 sun.nio.cs.SingleByte$Decoder.decode
  21  1.59% 57.39%     150 317466 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
  22  1.58% 58.96% 1028458 305590 java.lang.CharacterDataLatin1.getProperties
  23  1.54% 60.51% 1022230 305595 java.lang.CharacterDataLatin1.getProperties
  24  1.43% 61.94% 1047895 320819 java.lang.String.charAt
  25  1.27% 63.21%  292489 317370 java.lang.String.indexOf
  26  1.23% 64.44%     284 317724 com.mysql.jdbc.CallableStatement.execute
  27  1.10% 65.54%     284 317576 com.mysql.jdbc.StatementImpl.setResultSetConcurrency
  28  1.07% 66.62%  113200 318958 java.lang.AbstractStringBuilder.append
  29  1.03% 67.65%  292462 320821 java.lang.String.indexOf
  30  0.91% 68.56%     284 317450 com.mysql.jdbc.PreparedStatement$ParseInfo.<init>
  31  0.86% 69.42%  514226 317371 java.lang.CharacterData.of
